objectId,maskIndex,bboxCenterX,bboxCenterY,bboxWidth,bboxHeight,samTranslation,samScale,samProxyPosition,samProxySize,proxyPosition,proxySize,inferenceSeconds,plySizeBytes
mask_1,1,2427.0,2585.0,791,583,"[0.20645934343338013, -0.12416309863328934, 1.8837186098098755]","[0.2931162118911743, 0.2931162118911743, 0.2931162118911743]","[-0.1556739731627964, 0.8490054500720552, -1.0852544261581705]","[0.19587466010568105, 0.2580109001441105, 0.19587466010568105]","[-0.15279999999999996, 0.7783, -1.0382777777777779]","[0.14501666666666668, 0.11660000000000001, 0.06]",23.60,5442591
mask_4,4,847.0,1397.0,899,1247,"[0.7175323367118835, 0.2741492986679077, 1.7541108131408691]","[0.4406096339225769, 0.4406096339225769, 0.4406096339225769]","[0.75, 0.9199999999999999, -0.9721635991910133]","[0.3, 0.4, 0.3]","[-0.5741333333333334, 0.8447, -0.8138777777777778]","[0.1648166666666667, 0.24939999999999998, 0.06]",19.53,6994080
mask_10,10,3251.5,2211.5,526,620,"[-0.12075968086719513, 0.0017802119255065918, 2.2444329261779785]","[0.29682761430740356, 0.29682761430740356, 0.29682761430740356]","[-0.7355397804551433, 0.8507918981760634, -1.4]","[0.19849478399155973, 0.2615837963521269, 0.19849478399155973]","[0.06706666666666675, 0.782, -0.9677277777777779]","[0.09643333333333334, 0.124, 0.06]",22.84,24291104
mask_14,14,3466.5,3393.5,438,444,"[-0.1289196014404297, -0.2918303608894348, 1.2702900171279907]","[0.12897989153862, 0.12897989153862, 0.12897989153862]","[-0.75, 0.77, -0.55]","[0.08, 0.1, 0.08]","[0.12439999999999998, 0.7644, -1.1909944444444445]","[0.0803, 0.0888, 0.06]",19.75,6946208
